#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.15115     2.15115           0
           2     2.11822     2.13468    0.011643
           3     2.11134      2.1269   0.0100301
           4     2.10415     2.12121  0.00899249
           5     2.11805     2.12058  0.00721616
           6     2.09652     2.11657  0.00704045
           7     2.12675     2.11803  0.00618298
           8     2.12374     2.11874  0.00545119
           9     2.13191      2.1202  0.00503818
          10     2.12261     2.12044  0.00454013
