#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.80134    -4.80134           0
           2    -4.77144    -4.78639   0.0105709
           3    -4.76382    -4.77887   0.0093476
           4    -4.75563    -4.77306  0.00862833
           5    -4.77142    -4.77273  0.00690889
           6    -4.74802    -4.76861  0.00687616
           7    -4.77968    -4.77019  0.00607304
           8    -4.77615    -4.77094  0.00535933
           9    -4.78442    -4.77244  0.00496882
          10    -4.77448    -4.77264  0.00447613
