#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93092     2.93092           0
           2     2.86875     2.89983   0.0219787
           3     2.72472     2.84146   0.0498605
           4     2.58717     2.77789    0.066556
           5     2.58017     2.73835   0.0639219
           6     2.48111     2.69547      0.0661
           7     2.33533     2.64402   0.0740198
           8     2.20426     2.58905    0.082697
           9     2.13358     2.53845    0.087636
          10     2.04536     2.48914   0.0917009
          11     2.01545     2.44607    0.092927
          12     2.02513       2.411    0.091565
          13     1.99879     2.37929    0.089844
          14     1.98913     2.35142   0.0876423
          15      1.9927      2.3275   0.0849996
          16     1.95673     2.30433   0.0827857
          17     1.96226     2.28421   0.0803241
          18     1.90123     2.26293   0.0786291
          19     1.87943     2.24275   0.0770379
          20     1.91211     2.22622   0.0749389
          21     1.89343     2.21037   0.0730267
          22     1.91105     2.19676   0.0709633
          23     1.86797     2.18247   0.0693029
          24     1.88018     2.16987   0.0675502
          25     1.90088     2.15911   0.0656995
          26     1.86781     2.14791   0.0641208
          27     1.85292     2.13698   0.0626698
          28      1.8597     2.12708   0.0612091
          29     1.83212     2.11691   0.0599375
          30     1.86858     2.10863   0.0585084
          31     1.88266     2.10134   0.0570733
          32     1.86321      2.0939   0.0557728
          33     1.90356     2.08813   0.0543802
          34     1.86752     2.08164   0.0531665
          35     1.86178     2.07536   0.0520172
          36     1.88737     2.07014   0.0508337
          37     1.94886     2.06686   0.0495654
          38     1.91056     2.06275   0.0484314
          39     1.85762     2.05749   0.0474743
          40     1.83853     2.05202    0.046602
          41     1.82723     2.04653   0.0457868
          42     1.84751     2.04179   0.0449411
          43     1.85242     2.03739   0.0441113
          44      1.8742     2.03368   0.0432644
          45     1.82978     2.02915   0.0425396
          46     1.81183     2.02443   0.0418763
          47     1.81734     2.02002   0.0412165
          48     1.75924     2.01459   0.0407143
          49     1.77279     2.00965   0.0401813
          50     1.78665     2.00519   0.0396244
          51     1.81067     2.00138   0.0390306
          52     1.79976      1.9975   0.0384721
          53      1.7936     1.99365   0.0379381
          54     1.81039     1.99026   0.0373871
          55     1.80313     1.98686   0.0368618
          56     1.80011     1.98352    0.036354
          57      1.8501     1.98118   0.0357915
          58      1.8749     1.97935   0.0352213
          59     1.92441     1.97842   0.0346367
          60     1.91588     1.97738   0.0340751
          61     1.91495     1.97635   0.0335318
          62     1.89209     1.97499   0.0330185
          63     1.92862     1.97426   0.0325026
          64     1.93313     1.97362   0.0320011
          65     1.91545     1.97272   0.0315213
          66     1.89978     1.97162   0.0310631
          67     1.88346      1.9703   0.0306273
          68     1.87658     1.96892   0.0302079
          69      1.8786     1.96761   0.0297984
          70     1.88464     1.96643   0.0293963
          71     1.88018     1.96521   0.0290074
          72     1.86488     1.96382   0.0286379
          73     1.92267     1.96325   0.0282512
          74     1.91194     1.96256   0.0278779
          75     1.89403     1.96165   0.0275212
          76     1.90146     1.96086   0.0271705
          77     1.89519        1.96    0.026831
          78     1.92109      1.9595   0.0264916
          79     1.90107     1.95876   0.0261666
          80     1.87905     1.95777   0.0258585
          81     1.91805     1.95728   0.0255439
          82     1.92714     1.95691    0.025235
          83       1.898      1.9562    0.024941
          84     1.88774     1.95539   0.0246574
          85     1.91445      1.9549    0.024372
          86     1.91164      1.9544   0.0240938
          87     1.93588     1.95419   0.0238178
          88     1.93413     1.95396   0.0235482
          89     1.89121     1.95325   0.0232942
          90     1.90063     1.95267   0.0230427
          91     1.92522     1.95237   0.0227915
          92     1.93111     1.95214   0.0225449
          93       1.908     1.95166   0.0223075
          94     1.92108     1.95134   0.0220725
          95     1.95245     1.95135   0.0218402
          96     1.97068     1.95155   0.0216136
          97     1.89873     1.95101   0.0213977
          98     1.91062     1.95059   0.0211833
          99     1.92991     1.95039   0.0209703
         100     1.97272     1.95061   0.0207618
         101     1.94443     1.95055   0.0205563
         102     1.87807     1.94984   0.0203671
         103     1.82787     1.94865   0.0202037
         104     1.85039     1.94771   0.0200316
         105     1.88234     1.94709   0.0198505
         106     1.88767     1.94652   0.0196711
         107     1.90414     1.94613   0.0194912
         108     1.92201     1.94591    0.019312
         109     1.90075     1.94549   0.0191393
         110     1.84654     1.94459   0.0189864
         111     1.83394     1.94359   0.0188415
         112     1.88594     1.94308   0.0186804
         113     1.88548     1.94257    0.018522
         114     1.84608     1.94172   0.0183789
         115     1.86437     1.94105   0.0182313
         116     1.89874     1.94069   0.0180778
         117     1.96246     1.94087   0.0179243
         118     1.95768     1.94101   0.0177729
         119     1.87942      1.9405   0.0176311
         120     1.89526     1.94012   0.0174882
         121     1.94185     1.94013   0.0173437
         122     1.96851     1.94037   0.0172031
         123      1.9786     1.94068    0.017066
         124     1.93528     1.94063   0.0169285
         125     1.87038     1.94007   0.0168024
         126     1.84725     1.93934   0.0166852
         127     1.90281     1.93905   0.0165563
         128      1.9616     1.93922   0.0164278
         129      1.9733     1.93949   0.0163026
         130     2.00259     1.93997   0.0161844
         131     1.97638     1.94025   0.0160633
         132     1.93849     1.94024   0.0159416
         133     1.95808     1.94037   0.0158223
         134     1.91288     1.94017   0.0157055
         135     1.91077     1.93995   0.0155907
         136     1.93452     1.93991   0.0154761
         137     1.91842     1.93975    0.015364
         138     1.89755     1.93945   0.0152557
         139     1.89936     1.93916   0.0151486
         140     1.89132     1.93882   0.0150443
         141     1.85963     1.93826   0.0149481
         142     1.82707     1.93747   0.0148633
         143     1.88843     1.93713   0.0147633
         144     1.87939     1.93673   0.0146662
         145     1.86494     1.93623   0.0145734
         146     1.90472     1.93602   0.0144752
         147     1.84893     1.93543   0.0143889
         148     1.82165     1.93466   0.0143122
         149     1.83707       1.934   0.0142311
         150     1.85248     1.93346   0.0141466
         151     1.84866      1.9329   0.0140641
         152     1.90761     1.93273   0.0139725
         153     1.92602     1.93269   0.0138813
         154     1.92955     1.93267   0.0137911
         155     1.93086     1.93265   0.0137022
         156     1.92639     1.93261   0.0136144
         157     1.93775     1.93265   0.0135277
         158     1.90239     1.93246   0.0134435
         159     1.87261     1.93208   0.0133642
         160     1.86809     1.93168   0.0132866
         161     1.87639     1.93134   0.0132085
         162     1.87808     1.93101   0.0131311
         163     1.86077     1.93058   0.0130576
         164      1.9069     1.93043   0.0129788
         165     1.92129     1.93038   0.0129002
         166     1.89864     1.93018   0.0128239
         167     1.89644     1.92998   0.0127487
         168     1.89422     1.92977   0.0126746
