#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.46473    -1.46473           0
           2    -1.40071    -1.43272   0.0226346
           3     -1.2561    -1.37385   0.0503837
           4    -1.11804    -1.30989   0.0670474
           5    -1.11166    -1.27025   0.0642998
           6    -1.01127    -1.22708   0.0665113
           7   -0.864855    -1.17534    0.074467
           8   -0.734017    -1.12017    0.083117
           9   -0.662553    -1.06933   0.0880717
          10   -0.574292    -1.01982   0.0921325
          11    -0.54435   -0.976598   0.0933474
          12   -0.553856   -0.941369    0.091976
          13   -0.527104   -0.909503   0.0902526
          14   -0.517888    -0.88153   0.0880342
          15   -0.520978   -0.857493   0.0853837
          16   -0.485393   -0.834237   0.0831541
          17   -0.490669   -0.814027   0.0806813
          18   -0.429359   -0.792657   0.0789785
          19   -0.408017   -0.772413   0.0773728
          20   -0.440872   -0.755836    0.075259
          21   -0.421879   -0.739933   0.0733362
          22   -0.439338    -0.72627   0.0712642
          23   -0.396577   -0.711935   0.0695925
          24   -0.408585   -0.699295   0.0678309
          25   -0.429535   -0.688505   0.0659703
          26   -0.396015   -0.677255    0.064385
          27   -0.381312   -0.666295   0.0629265
          28   -0.388562   -0.656376   0.0614559
          29   -0.360273   -0.646165   0.0601789
          30   -0.397576   -0.637879   0.0587407
          31   -0.410946   -0.630558   0.0573002
          32   -0.391967   -0.623102   0.0559925
          33    -0.43212   -0.617315   0.0545941
          34   -0.395698   -0.610797    0.053376
          35   -0.390463   -0.604502   0.0522209
          36   -0.416091   -0.599268   0.0510319
          37   -0.477409   -0.595975   0.0497589
          38   -0.438749   -0.591837   0.0486211
          39   -0.385766   -0.586553   0.0476607
          40    -0.36722    -0.58107   0.0467835
          41   -0.355652   -0.575572   0.0459644
          42   -0.376073   -0.570822   0.0451148
          43   -0.380996   -0.566407    0.044281
          44   -0.402729   -0.562687   0.0434306
          45   -0.357615    -0.55813   0.0427039
          46   -0.340597   -0.553401   0.0420366
          47   -0.345601    -0.54898   0.0413741
          48   -0.287336   -0.543529   0.0408696
          49   -0.301359   -0.538587   0.0403332
          50   -0.315058   -0.534116   0.0397736
          51   -0.339206   -0.530294   0.0391769
          52   -0.328031   -0.526405   0.0386161
          53   -0.321845   -0.522545   0.0380799
          54   -0.339021   -0.519146    0.037526
          55   -0.331659   -0.515738   0.0369983
          56      -0.329   -0.512403   0.0364875
          57   -0.379059   -0.510064   0.0359223
          58   -0.403726    -0.50823   0.0353497
          59   -0.453536   -0.507303   0.0347627
          60   -0.444426   -0.506255   0.0341991
          61   -0.443687    -0.50523   0.0336539
          62   -0.420791   -0.503868   0.0331386
          63   -0.457656   -0.503134   0.0326207
          64   -0.461435   -0.502483   0.0321175
          65   -0.444386   -0.501589   0.0316359
          66   -0.428267   -0.500478    0.031176
          67    -0.41215    -0.49916   0.0307386
          68    -0.40518   -0.497777   0.0303176
          69   -0.407255   -0.496466   0.0299066
          70    -0.41349    -0.49528   0.0295028
          71   -0.408632    -0.49406   0.0291125
          72   -0.393723   -0.492666   0.0287415
          73   -0.451285   -0.492099   0.0283534
          74   -0.440229   -0.491398   0.0279789
          75   -0.422617   -0.490481   0.0276209
          76   -0.429758   -0.489682    0.027269
          77   -0.423732   -0.488826   0.0269283
          78   -0.449596   -0.488323   0.0265877
          79   -0.429281   -0.487576   0.0262617
          80   -0.407645   -0.486576   0.0259524
          81   -0.446523   -0.486082   0.0256367
          82   -0.455532   -0.485709   0.0253268
          83   -0.426204   -0.484992   0.0250318
          84   -0.416133   -0.484173   0.0247472
          85   -0.443279   -0.483692   0.0244608
          86   -0.439855   -0.483182   0.0241816
          87   -0.464652   -0.482969   0.0239046
          88   -0.462394   -0.482735   0.0236341
