#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95394     1.95394           0
           2      1.9125     1.93322   0.0146524
           3     1.81648     1.89431   0.0332403
           4     1.72478     1.85193   0.0443706
           5     1.72011     1.82556   0.0426146
           6     1.65407     1.79698   0.0440667
           7     1.55688     1.76268   0.0493466
           8     1.46951     1.72604   0.0551314
           9     1.42239      1.6923    0.058424
          10     1.36357     1.65942   0.0611339
          11     1.34363     1.63072   0.0619514
          12     1.35009     1.60733   0.0610433
          13     1.33253     1.58619    0.059896
          14     1.32609     1.56761   0.0584282
          15     1.32847     1.55167   0.0566664
          16     1.30449     1.53622   0.0551905
          17     1.30817     1.52281   0.0535494
          18     1.26749     1.50862   0.0524194
          19     1.25295     1.49517   0.0513586
          20     1.27474     1.48414   0.0499593
          21     1.26229     1.47358   0.0486844
          22     1.27404     1.46451   0.0473089
          23     1.24532     1.45498   0.0462019
          24     1.25345     1.44658   0.0450334
          25     1.26725     1.43941   0.0437997
          26     1.24521     1.43194   0.0427472
          27     1.23528     1.42466   0.0417799
          28      1.2398     1.41805    0.040806
          29     1.22141     1.41127   0.0399584
          30     1.24572     1.40575   0.0390056
          31     1.25511      1.4009   0.0380489
          32     1.24214     1.39593   0.0371819
          33     1.26904     1.39209   0.0362534
          34     1.24501     1.38776   0.0354443
          35     1.24118     1.38358   0.0346781
          36     1.25825     1.38009   0.0338892
          37     1.29924     1.37791   0.0330436
          38      1.2737     1.37517   0.0322876
          39     1.23842     1.37166   0.0316496
          40     1.22568     1.36801    0.031068
          41     1.21815     1.36436   0.0305245
          42     1.23167      1.3612   0.0299608
          43     1.23494     1.35826   0.0294075
          44     1.24946     1.35579   0.0288429
          45     1.21985     1.35277   0.0283597
          46     1.20789     1.34962   0.0279175
          47     1.21156     1.34668   0.0274776
          48     1.17283     1.34306   0.0271429
          49     1.18186     1.33977   0.0267875
          50      1.1911     1.33679   0.0264163
          51     1.20711     1.33425   0.0260204
          52     1.19984     1.33167   0.0256481
          53     1.19573      1.3291   0.0252921
          54     1.20693     1.32684   0.0249247
          55     1.20209     1.32457   0.0245745
          56     1.20008     1.32235    0.024236
          57      1.2334     1.32079    0.023861
          58     1.24994     1.31957   0.0234809
          59     1.28294     1.31895   0.0230911
          60     1.27725     1.31825   0.0227167
          61     1.27663     1.31757   0.0223545
          62      1.2614     1.31666   0.0220123
          63     1.28574     1.31617   0.0216684
          64     1.28875     1.31574   0.0213341
          65     1.27697     1.31515   0.0210142
          66     1.26652     1.31441   0.0207087
          67     1.25564     1.31353   0.0204182
          68     1.25105     1.31261   0.0201386
          69      1.2524     1.31174   0.0198656
          70     1.25643     1.31095   0.0195975
          71     1.25345     1.31014   0.0193382
          72     1.24325     1.30921    0.019092
          73     1.28178     1.30884   0.0188341
          74     1.27463     1.30837   0.0185853
          75     1.26269     1.30777   0.0183475
          76     1.26764     1.30724   0.0181136
          77     1.26346     1.30667   0.0178873
          78     1.28073     1.30634   0.0176611
          79     1.26738     1.30584   0.0174444
          80      1.2527     1.30518    0.017239
          81      1.2787     1.30485   0.0170293
          82     1.28476     1.30461   0.0168234
          83     1.26533     1.30413   0.0166273
          84      1.2585     1.30359   0.0164382
          85      1.2763     1.30327    0.016248
          86     1.27443     1.30293   0.0160625
          87     1.29059     1.30279   0.0158785
          88     1.28942     1.30264   0.0156988
          89     1.26081     1.30217   0.0155295
          90     1.26709     1.30178   0.0153618
          91     1.28348     1.30158   0.0151943
          92     1.28741     1.30142   0.0150299
          93       1.272     1.30111   0.0148716
          94     1.28072     1.30089    0.014715
          95     1.30164      1.3009   0.0145601
          96     1.31379     1.30103   0.0144091
          97     1.26582     1.30067   0.0142651
          98     1.27375      1.3004   0.0141222
          99     1.28661     1.30026   0.0139802
         100     1.31515     1.30041   0.0138412
         101     1.29629     1.30036   0.0137042
         102     1.25205     1.29989   0.0135781
         103     1.21858      1.2991   0.0134692
         104     1.23359     1.29847   0.0133544
         105     1.25489     1.29806   0.0132336
         106     1.25845     1.29768   0.0131141
         107     1.26943     1.29742   0.0129942
