#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46618     1.46618           0
           2     1.46804     1.46711 0.000655916
           3     1.46863     1.46762  0.00060085
           4     1.46913     1.46799  0.00055697
           5      1.4685      1.4681 0.000454771
           6     1.46984     1.46839 0.000462942
           7     1.47047     1.46869 0.000483131
           8     1.47025     1.46888 0.000460437
           9     1.47103     1.46912 0.000467179
          10     1.47107     1.46931 0.000459292
          11      1.4711     1.46948 0.000445276
          12     1.47127     1.46963 0.000432578
          13     1.47169     1.46978 0.000427431
          14     1.47124     1.46989 0.000409362
          15     1.47172     1.47001 0.000399857
          16     1.47134     1.47009 0.000383428
          17     1.47159     1.47018 0.000370836
          18     1.47187     1.47028 0.000361945
          19     1.47141     1.47034 0.000347764
          20     1.47124     1.47038 0.000333283
          21     1.47155     1.47044 0.000322055
          22     1.47172     1.47049 0.000312627
          23      1.4714     1.47053 0.000301481
          24     1.47159     1.47058 0.000292116
          25     1.47134     1.47061  0.00028203
          26      1.4718     1.47065  0.00027486
          27     1.47161     1.47069 0.000266944
          28     1.47114     1.47071 0.000257891
          29     1.47184     1.47074 0.000251959
          30       1.471     1.47075 0.000243707
          31     1.47172     1.47078 0.000237818
          32     1.47125      1.4708 0.000230824
          33     1.47144     1.47082 0.000224639
          34     1.47182     1.47085 0.000219951
          35     1.47131     1.47086 0.000214068
          36     1.47128     1.47087 0.000208442
          37     1.47145     1.47089 0.000203396
          38     1.47181     1.47091 0.000199473
          39     1.47186     1.47094 0.000195828
          40     1.47131     1.47095 0.000191151
          41     1.47158     1.47096 0.000187107
          42     1.47143     1.47097 0.000182988
          43     1.47142     1.47098  0.00017903
          44     1.47147     1.47099 0.000175299
          45     1.47216     1.47102 0.000173316
          46     1.47123     1.47102 0.000169611
          47     1.47174     1.47104 0.000166688
          48      1.4719     1.47106 0.000164186
          49     1.47143     1.47107 0.000161012
          50     1.47159     1.47108 0.000158137
          51     1.47146     1.47108 0.000155216
          52     1.47173      1.4711 0.000152732
          53     1.47175     1.47111 0.000150348
          54     1.47137     1.47111 0.000147643
          55     1.47148     1.47112 0.000145106
          56     1.47111     1.47112 0.000142515
          57     1.47104     1.47112 0.000140022
          58     1.47118     1.47112 0.000137612
          59     1.47087     1.47112 0.000135344
          60     1.47145     1.47112 0.000133206
          61     1.47126     1.47112 0.000131043
          62      1.4713     1.47113 0.000128962
          63     1.47096     1.47112 0.000126942
          64     1.47169     1.47113 0.000125272
          65     1.47107     1.47113 0.000123349
          66     1.47151     1.47114 0.000121612
          67     1.47131     1.47114 0.000119825
          68      1.4714     1.47114 0.000118123
          69     1.47135     1.47115 0.000116448
          70     1.47115     1.47115 0.000114785
          71     1.47155     1.47115 0.000113308
          72     1.47116     1.47115 0.000111735
          73     1.47138     1.47116 0.000110249
          74     1.47171     1.47116 0.000109017
          75     1.47141     1.47117 0.000107614
          76      1.4717     1.47117 0.000106428
          77     1.47145     1.47118 0.000105108
          78      1.4715     1.47118  0.00010384
          79     1.47179     1.47119 0.000102811
          80     1.47141     1.47119 0.000101562
          81     1.47153      1.4712 0.000100393
          82      1.4716      1.4712  9.9292e-05
          83     1.47179     1.47121 9.83521e-05
          84     1.47161     1.47121 9.72977e-05
          85     1.47117     1.47121 9.61542e-05
          86     1.47179     1.47122 9.52674e-05
          87     1.47123     1.47122 9.41724e-05
          88     1.47173     1.47122  9.3284e-05
          89     1.47159     1.47123 9.23249e-05
          90     1.47149     1.47123 9.13447e-05
          91     1.47144     1.47123 9.03692e-05
          92     1.47146     1.47124  8.9421e-05
          93     1.47171     1.47124 8.86065e-05
          94     1.47156     1.47125 8.77267e-05
          95      1.4712     1.47124 8.68049e-05
          96     1.47176     1.47125 8.60647e-05
          97     1.47195     1.47126 8.54804e-05
          98      1.4715     1.47126 8.46442e-05
          99      1.4713     1.47126 8.37904e-05
         100     1.47125     1.47126 8.29526e-05
         101       1.472     1.47127  8.2451e-05
         102     1.47184     1.47127  8.1835e-05
         103     1.47197     1.47128 8.13233e-05
         104      1.4713     1.47128 8.05416e-05
         105     1.47149     1.47128 7.98005e-05
         106      1.4712     1.47128  7.9051e-05
         107     1.47166     1.47128 7.83907e-05
         108     1.47143     1.47129 7.76762e-05
         109     1.47217     1.47129 7.73875e-05
         110     1.47178      1.4713 7.68121e-05
         111     1.47154      1.4713 7.61513e-05
         112     1.47131      1.4713 7.54714e-05
         113     1.47178     1.47131 7.49224e-05
         114     1.47178     1.47131 7.43791e-05
         115     1.47147     1.47131 7.37459e-05
         116     1.47137     1.47131 7.31117e-05
         117     1.47132     1.47131 7.24869e-05
         118     1.47178     1.47132 7.19791e-05
         119     1.47213     1.47132 7.16972e-05
         120     1.47086     1.47132 7.12017e-05
         121     1.47145     1.47132 7.06213e-05
         122     1.47115     1.47132 7.00557e-05
         123     1.47156     1.47132 6.95134e-05
         124     1.47186     1.47132 6.90867e-05
         125     1.47184     1.47133 6.86575e-05
         126     1.47132     1.47133 6.81126e-05
         127     1.47116     1.47133 6.75893e-05
         128     1.47109     1.47132 6.70856e-05
         129     1.47135     1.47133 6.65657e-05
         130     1.47149     1.47133 6.60651e-05
         131     1.47155     1.47133 6.55831e-05
         132     1.47109     1.47133  6.5111e-05
         133     1.47137     1.47133 6.46221e-05
         134     1.47183     1.47133 6.42493e-05
         135      1.4711     1.47133 6.37961e-05
         136     1.47201     1.47133 6.35235e-05
         137     1.47117     1.47133 6.30713e-05
         138     1.47151     1.47133 6.26273e-05
         139     1.47129     1.47133 6.21776e-05
         140     1.47167     1.47134 6.17801e-05
         141     1.47155     1.47134 6.13608e-05
         142     1.47147     1.47134 6.09358e-05
         143      1.4713     1.47134 6.05104e-05
         144     1.47177     1.47134 6.01656e-05
         145     1.47113     1.47134 5.97687e-05
         146     1.47153     1.47134 5.93731e-05
         147     1.47208     1.47135 5.91794e-05
         148     1.47119     1.47134  5.8789e-05
         149     1.47154     1.47135 5.84091e-05
         150     1.47122     1.47135 5.80255e-05
         151      1.4713     1.47134 5.76421e-05
         152     1.47109     1.47134 5.72865e-05
         153     1.47171     1.47135 5.69614e-05
         154     1.47097     1.47134 5.66447e-05
         155      1.4716     1.47134 5.63033e-05
         156     1.47129     1.47134 5.59436e-05
         157     1.47181     1.47135 5.56656e-05
         158     1.47143     1.47135 5.53156e-05
         159      1.4719     1.47135  5.5077e-05
         160     1.47149     1.47135 5.47397e-05
         161     1.47137     1.47135 5.43998e-05
         162     1.47187     1.47136 5.41568e-05
         163     1.47139     1.47136  5.3825e-05
         164     1.47114     1.47135 5.35131e-05
         165     1.47178     1.47136 5.32523e-05
         166     1.47156     1.47136 5.29454e-05
         167     1.47127     1.47136 5.26311e-05
         168     1.47179     1.47136 5.23807e-05
         169     1.47146     1.47136 5.20739e-05
         170     1.47161     1.47136 5.17877e-05
         171     1.47127     1.47136 5.14878e-05
         172     1.47172     1.47136 5.12301e-05
         173     1.47144     1.47136 5.09361e-05
         174     1.47152     1.47137 5.06516e-05
         175      1.4714     1.47137 5.03625e-05
         176     1.47141     1.47137 5.00771e-05
         177     1.47171     1.47137  4.9832e-05
         178      1.4716     1.47137 4.95694e-05
         179      1.4714     1.47137 4.92929e-05
         180     1.47153     1.47137 4.90275e-05
         181     1.47152     1.47137  4.8764e-05
         182     1.47197     1.47137 4.86054e-05
         183     1.47181     1.47138 4.83976e-05
         184     1.47134     1.47138 4.81351e-05
         185     1.47177     1.47138 4.79215e-05
         186     1.47145     1.47138 4.76655e-05
         187     1.47152     1.47138 4.74164e-05
         188     1.47124     1.47138 4.71696e-05
         189     1.47158     1.47138 4.69321e-05
         190     1.47167     1.47138 4.67095e-05
         191     1.47143     1.47138 4.64657e-05
         192     1.47147     1.47138  4.6226e-05
