#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.90333     1.90333           0
           2     1.89842     1.90088  0.00173525
           3     1.88158     1.89445  0.00537739
           4     1.87877     1.89053  0.00527162
           5     1.86911     1.88624   0.0056972
           6     1.86683     1.88301  0.00559141
           7      1.9077     1.88654  0.00579972
           8     1.91441     1.89002   0.0060309
           9     1.90601      1.8918  0.00561635
          10     1.88086      1.8907   0.0051602
          11     1.91713     1.89311  0.00522065
          12     1.90708     1.89427  0.00491383
          13     1.88846     1.89382  0.00455615
          14     1.87039     1.89215  0.00452765
          15     1.87595     1.89107  0.00435263
          16     1.92651     1.89329  0.00460992
          17     1.96365     1.89742   0.0059117
          18     1.96087     1.90095  0.00655036
          19     1.96707     1.90443  0.00706978
          20      1.9464     1.90653  0.00702089
          21     1.97991     1.91002  0.00750592
          22     2.00549     1.91436  0.00832511
          23     2.00217     1.91818  0.00879513
          24     1.97609     1.92059  0.00875337
          25     1.98369     1.92312  0.00875951
          26      2.0139     1.92661  0.00909194
          27     2.03392     1.93058  0.00958458
          28     2.01634     1.93364  0.00971933
          29     2.00703     1.93618  0.00970803
          30     2.02387      1.9391  0.00981463
          31     2.01985      1.9417  0.00983764
          32     2.07087     1.94574   0.0103251
          33     2.10153     1.95046   0.0110389
          34     2.16564     1.95679   0.0123964
          35     2.19546     1.96361   0.0137908
          36     2.21307     1.97054   0.0150482
          37     2.28664     1.97908   0.0168935
          38     2.38402     1.98974   0.0195226
          39     2.43923     2.00126   0.0221645
          40     2.52299     2.01431   0.0251572
          41     2.57127     2.02789   0.0279719
          42     2.58908     2.04125   0.0303297
          43     2.57738     2.05372   0.0320849
          44     2.59694     2.06607   0.0336473
          45     2.69497     2.08004   0.0356842
          46     2.75441      2.0947   0.0378001
          47     2.82985     2.11034   0.0401016
          48     2.90774     2.12696   0.0425683
          49     2.95334     2.14382   0.0449163
          50     2.90874     2.15912   0.0465505
