#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26889     1.26889           0
           2     1.26562     1.26725  0.00115683
           3     1.25439     1.26296  0.00358493
           4     1.25251     1.26035  0.00351441
           5     1.24608      1.2575  0.00379813
           6     1.24455     1.25534  0.00372761
           7      1.2718     1.25769  0.00386648
           8     1.27627     1.26001   0.0040206
           9     1.27067      1.2612  0.00374424
          10      1.2539     1.26047  0.00344013
          11     1.27809     1.26207  0.00348043
          12     1.27139     1.26285  0.00327589
          13     1.25897     1.26255  0.00303743
          14     1.24693     1.26143  0.00301843
          15     1.25064     1.26071  0.00290176
          16     1.28434     1.26219  0.00307328
          17      1.3091     1.26495  0.00394114
          18     1.30725      1.2673   0.0043669
          19     1.31138     1.26962  0.00471319
          20      1.2976     1.27102  0.00468059
          21     1.31994     1.27335  0.00500395
          22     1.33699     1.27624  0.00555008
          23     1.33478     1.27879  0.00586342
          24     1.31739     1.28039  0.00583558
          25     1.32246     1.28208  0.00583968
          26      1.3426      1.2844  0.00606129
          27     1.35594     1.28705  0.00638972
          28     1.34423      1.2891  0.00647955
          29     1.33802     1.29078  0.00647202
          30     1.34924     1.29273  0.00654308
          31     1.34657     1.29447  0.00655842
          32     1.38058     1.29716  0.00688343
          33     1.40102     1.30031  0.00735926
          34     1.44376     1.30453  0.00826423
          35     1.46364     1.30907  0.00919386
          36     1.47538     1.31369   0.0100322
          37     1.52442     1.31939   0.0112623
          38     1.58934     1.32649   0.0130151
          39     1.62615     1.33418   0.0147764
          40       1.682     1.34287   0.0167715
          41     1.71418     1.35193   0.0186479
          42     1.72605     1.36083   0.0202198
          43     1.71826     1.36915     0.02139
          44      1.7313     1.37738   0.0224315
          45     1.79665     1.38669   0.0237895
          46     1.83627     1.39647   0.0252001
          47     1.88657      1.4069   0.0267344
          48      1.9385     1.41797   0.0283789
          49     1.96889     1.42921   0.0299442
          50     1.93916     1.43941   0.0310337
