#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.417102   -0.417102           0
           2   -0.402369   -0.409735  0.00520899
           3   -0.414746   -0.411406  0.00373084
           4   -0.484776   -0.429748   0.0161297
           5   -0.479094   -0.439617   0.0156342
           6   -0.429249   -0.437889   0.0131236
           7   -0.425116   -0.436065    0.011375
           8   -0.367297   -0.427469   0.0127952
           9   -0.360917   -0.420074   0.0133402
          10     -0.4521   -0.423277   0.0123847
          11   -0.404446   -0.421565   0.0113765
          12   -0.361205   -0.416535   0.0114867
          13   -0.352364   -0.411599   0.0116154
          14    -0.37285   -0.408831   0.0111106
          15    -0.36031   -0.405596   0.0108306
          16   -0.354621    -0.40241   0.0106119
          17   -0.358329   -0.399817   0.0102996
          18   -0.379969   -0.398714  0.00978626
          19   -0.366668   -0.397028  0.00941542
          20    -0.38806   -0.396579  0.00895531
          21   -0.333128   -0.393558  0.00902421
          22   -0.352757   -0.391703  0.00880252
          23   -0.415306    -0.39273  0.00847941
          24   -0.377386    -0.39209  0.00815017
          25   -0.390136   -0.392012  0.00782454
          26   -0.367246    -0.39106  0.00758135
          27   -0.386981   -0.390908  0.00730206
          28   -0.393173   -0.390989  0.00704172
          29   -0.374971   -0.390437  0.00682054
          30   -0.400681   -0.390778  0.00660173
          31    -0.36193   -0.389848  0.00645402
          32   -0.376339   -0.389426  0.00626613
          33   -0.412299   -0.390119  0.00611446
          34   -0.374528    -0.38966  0.00595179
          35   -0.326142   -0.387845   0.0060521
          36   -0.329338    -0.38622   0.0060983
          37   -0.370306    -0.38579  0.00594863
          38   -0.403841   -0.386265  0.00581102
          39    -0.42188   -0.387178  0.00573333
          40   -0.402448    -0.38756  0.00560269
          41   -0.412173    -0.38816   0.0054981
          42   -0.444128   -0.389493  0.00552632
          43   -0.426398   -0.390351  0.00546404
          44   -0.416552   -0.390947  0.00537221
          45   -0.413324   -0.391444  0.00527579
          46   -0.435363   -0.392399  0.00524678
          47   -0.445623   -0.393531  0.00525593
          48   -0.443506   -0.394572  0.00524854
          49   -0.421605   -0.395124  0.00517034
          50   -0.411857   -0.395459  0.00507775
          51   -0.421808   -0.395975   0.0050044
          52   -0.432601    -0.39668  0.00495748
          53   -0.392281   -0.396597  0.00486464
          54   -0.394935   -0.396566  0.00477465
          55   -0.378938   -0.396245  0.00469858
          56   -0.395333   -0.396229  0.00461471
          57   -0.408688   -0.396448  0.00453892
          58   -0.402277   -0.396548  0.00446178
          59   -0.347127   -0.395711  0.00446409
          60   -0.379575   -0.395442  0.00439778
          61   -0.369736    -0.39502  0.00434583
          62   -0.339581   -0.394126  0.00436676
          63     -0.3692    -0.39373  0.00431533
          64   -0.373436   -0.393413  0.00425954
          65   -0.351242   -0.392765  0.00424313
          66   -0.354288   -0.392182   0.0042187
          67   -0.333975   -0.391313  0.00424424
          68   -0.393847    -0.39135  0.00418199
          69   -0.390132   -0.391332  0.00412142
          70   -0.367468   -0.390991  0.00407662
          71   -0.387085   -0.390936  0.00401957
          72   -0.421292   -0.391358  0.00398579
          73   -0.393678    -0.39139  0.00393132
          74   -0.393082   -0.391413  0.00387826
          75   -0.415188    -0.39173  0.00383948
          76   -0.393652   -0.391755  0.00378905
          77   -0.402026   -0.391888  0.00374219
          78   -0.378591   -0.391718  0.00369809
          79   -0.361358   -0.391334  0.00367119
          80   -0.390279    -0.39132  0.00362533
          81    -0.38362   -0.391225  0.00358182
          82   -0.373487   -0.391009  0.00354466
          83   -0.392779    -0.39103  0.00350202
          84    -0.34059    -0.39043  0.00351143
          85   -0.395801   -0.390493  0.00347069
          86   -0.365368   -0.390201  0.00344261
          87   -0.359422   -0.389847  0.00342117
          88   -0.403535   -0.390003  0.00338582
          89   -0.383208   -0.389926  0.00334864
          90   -0.343921   -0.389415  0.00335022
          91   -0.365845   -0.389156   0.0033234
          92   -0.476066   -0.390101   0.0034189
          93   -0.439645   -0.390634   0.0034234
          94   -0.424601   -0.390995  0.00340599
          95   -0.424127   -0.391344  0.00338795
          96   -0.438059    -0.39183  0.00338743
          97   -0.416126   -0.392081  0.00336175
          98   -0.458224   -0.392756  0.00339452
          99   -0.419181   -0.393023  0.00337071
         100    -0.41123   -0.393205  0.00334192
