#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.25912     1.25912           0
           2     1.24906     1.25409  0.00355766
           3     1.25752     1.25523  0.00254944
           4     1.30411     1.26745   0.0107527
           5     1.30056     1.27407   0.0104442
           6     1.26711     1.27291  0.00876772
           7     1.26462     1.27173  0.00759487
           8     1.22593       1.266  0.00853441
           9     1.22153     1.26106  0.00890251
          10     1.28237     1.26319  0.00826325
          11     1.25093     1.26208  0.00758685
          12     1.22179     1.25872  0.00766145
          13     1.21592     1.25543  0.00774728
          14     1.22943     1.25357  0.00741306
          15     1.22121     1.25141  0.00722593
          16     1.21738     1.24929  0.00708051
          17     1.21993     1.24756   0.0068713
          18     1.23426     1.24682  0.00652916
          19     1.22551      1.2457  0.00628109
          20     1.23975      1.2454  0.00597407
          21     1.20315     1.24339  0.00601892
          22     1.21609     1.24215  0.00587189
          23     1.25783     1.24283  0.00565606
          24     1.23265     1.24241  0.00543626
          25     1.24112     1.24236  0.00521905
          26     1.22592     1.24172  0.00505647
          27     1.23888     1.24162  0.00487028
          28     1.24331     1.24168  0.00469672
          29     1.23101     1.24131  0.00454914
          30     1.24821     1.24154  0.00440332
          31     1.22249     1.24093  0.00430394
          32     1.23171     1.24064  0.00417906
          33     1.25589      1.2411  0.00407789
          34     1.23093      1.2408  0.00396891
          35     1.19847     1.23959  0.00403562
          36     1.20051     1.23851   0.0040669
          37     1.22779     1.23822  0.00396727
          38     1.25021     1.23853  0.00387541
          39     1.26242     1.23914  0.00382413
          40     1.24935      1.2394  0.00373702
          41     1.25577      1.2398  0.00366715
          42      1.2772     1.24069   0.0036864
          43      1.2653     1.24126  0.00364483
          44     1.25872     1.24166  0.00358353
          45     1.25652     1.24199  0.00351908
          46     1.27121     1.24262  0.00349946
          47     1.27795     1.24338  0.00350479
          48     1.27667     1.24407  0.00349973
          49     1.26206     1.24444   0.0034475
          50     1.25564     1.24466  0.00338583
          51      1.2621       1.245  0.00333667
          52     1.26942     1.24547  0.00330537
          53     1.24241     1.24541  0.00324351
          54     1.24425     1.24539  0.00318352
          55     1.23369     1.24518  0.00313274
          56     1.24456     1.24517  0.00307681
          57     1.25336     1.24531  0.00302619
          58     1.24938     1.24538  0.00297483
          59     1.21249     1.24483  0.00297617
          60     1.23403     1.24465  0.00293201
          61     1.22766     1.24437  0.00289714
          62     1.20746     1.24377  0.00291094
          63     1.22714     1.24351  0.00287668
          64     1.22996      1.2433   0.0028395
          65     1.21532     1.24287  0.00282825
          66     1.21717     1.24248  0.00281206
          67     1.20378      1.2419  0.00282877
          68     1.24366     1.24192  0.00278729
          69     1.24116     1.24191  0.00274691
          70     1.22602     1.24169  0.00271704
          71     1.23911     1.24165  0.00267902
          72     1.26177     1.24193  0.00265635
          73     1.24353     1.24195  0.00262005
          74     1.24296     1.24197  0.00258468
          75     1.25785     1.24218  0.00255888
          76     1.24355      1.2422  0.00252527
          77     1.24897     1.24228  0.00249401
          78     1.23334     1.24217  0.00246467
          79     1.22187     1.24191  0.00244682
          80      1.2411      1.2419  0.00241626
          81     1.23675     1.24184  0.00238726
          82     1.22997     1.24169  0.00236254
          83     1.24303     1.24171  0.00233413
          84     1.20803     1.24131  0.00234052
          85     1.24498     1.24135  0.00231338
          86     1.22463     1.24116  0.00229464
          87     1.22071     1.24092  0.00228027
          88     1.25013     1.24103  0.00225675
          89     1.23668     1.24098  0.00223193
          90     1.21038     1.24064  0.00223287
          91     1.22475     1.24046  0.00221515
          92     1.29823     1.24109  0.00227833
          93     1.27405     1.24145  0.00228124
          94     1.26403     1.24169  0.00226958
          95     1.26383     1.24192  0.00225763
          96     1.27309     1.24224  0.00225735
          97     1.25851     1.24241  0.00224029
          98     1.28649     1.24286  0.00226213
          99     1.26048     1.24304  0.00224627
         100     1.25523     1.24316  0.00222712
