#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -0.4319     -0.4319           0
           2    -0.42677   -0.429335  0.00181382
           3   -0.410261   -0.422977  0.00533024
           4   -0.407404   -0.419083  0.00522963
           5   -0.397235   -0.414714  0.00572525
           6   -0.395447   -0.411503  0.00559965
           7    -0.43633   -0.415049  0.00581546
           8   -0.443091   -0.418555  0.00605342
           9   -0.433974   -0.420268  0.00561804
          10   -0.409934   -0.419234   0.0051504
          11   -0.445355   -0.421609  0.00520087
          12    -0.43531   -0.422751  0.00489118
          13   -0.416886     -0.4223  0.00453569
          14   -0.398904   -0.420629  0.00450908
          15   -0.404829   -0.419575  0.00432975
          16   -0.455573   -0.421825  0.00460675
          17    -0.49239   -0.425976  0.00591737
          18   -0.489669   -0.429514  0.00656188
          19    -0.49535    -0.43298  0.00707246
          20   -0.475109   -0.435086  0.00702554
          21   -0.508733   -0.438593   0.0075155
          22   -0.534307   -0.442944  0.00833859
          23   -0.530307   -0.446742  0.00879874
          24   -0.504629   -0.449154  0.00875648
          25   -0.512434   -0.451685  0.00876443
          26   -0.542955   -0.455196  0.00910324
          27   -0.562315   -0.459163  0.00959173
          28   -0.545171   -0.462235   0.0097286
          29   -0.535681   -0.464767  0.00971719
          30   -0.552743     -0.4677  0.00982582
          31   -0.549035   -0.470324  0.00985293
          32   -0.600394   -0.474388   0.0103495
          33   -0.631797   -0.479158   0.0110807
          34   -0.695777   -0.485529   0.0124525
          35    -0.72547   -0.492385   0.0138558
          36   -0.743678   -0.499365   0.0151274
          37   -0.817717   -0.507969   0.0169902
          38   -0.915863   -0.518703   0.0196433
          39   -0.969837   -0.530271   0.0222868
          40    -1.05576   -0.543408   0.0253071
          41    -1.10199   -0.557032    0.028119
          42     -1.1201   -0.570438   0.0304783
          43    -1.10913   -0.582966   0.0322415
          44    -1.12938   -0.595385   0.0338159
          45    -1.22784   -0.609439   0.0358664
          46    -1.28716   -0.624172   0.0379924
          47    -1.36251   -0.639881   0.0403011
          48     -1.4433   -0.656619   0.0427964
          49    -1.48682   -0.673562   0.0451524
          50    -1.44296    -0.68895   0.0467981
