#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40344    -1.40344           0
           2    -1.13706    -1.27025    0.094181
           3   -0.899008     -1.1465    0.118958
           4   -0.639785    -1.01982    0.141406
           5   -0.547693   -0.925397    0.141175
           6   -0.517977   -0.857493    0.132977
           7   -0.481334   -0.803756    0.124365
           8    -0.42039   -0.755836     0.11769
           9   -0.423525   -0.718912    0.110254
          10   -0.414841   -0.688505    0.103336
          11   -0.389585    -0.66133   0.0974496
          12    -0.37991   -0.637879   0.0921074
          13   -0.405884   -0.620033   0.0867338
          14   -0.402594   -0.604502   0.0819174
          15    -0.44947   -0.594166   0.0771055
          16   -0.384624    -0.58107   0.0733901
          17    -0.36928   -0.568612   0.0701225
          18   -0.379945    -0.55813   0.0670056
          19    -0.33421   -0.546345   0.0645071
          20    -0.30177   -0.534116   0.0624301
          21   -0.330728   -0.524431   0.0602038
          22   -0.333176   -0.515738   0.0580915
          23   -0.360204   -0.508975    0.055958
          24   -0.443695   -0.506255   0.0536925
          25   -0.436039   -0.503447   0.0516182
          26   -0.455143   -0.501589   0.0496663
          27   -0.417395    -0.49847   0.0479246
          28   -0.409142    -0.49528   0.0463191
          29   -0.408944   -0.492303   0.0448174
          30   -0.437651   -0.490481   0.0433605
          31   -0.429938   -0.488528   0.0420058
          32   -0.426067   -0.486576   0.0407384
          33   -0.447278   -0.485386   0.0395213
          34   -0.427791   -0.483692   0.0383952
          35   -0.458508   -0.482972    0.037305
          36   -0.427757   -0.481438   0.0363002
          37   -0.455858   -0.480747   0.0353257
          38   -0.456344   -0.480105   0.0344019
          39   -0.456515     -0.4795   0.0335251
          40   -0.473448   -0.479349   0.0326874
          41   -0.424337   -0.478007   0.0319176
          42   -0.385463   -0.475803   0.0312337
          43    -0.42887   -0.474712   0.0305264
          44   -0.412282   -0.473293   0.0298655
          45   -0.393739   -0.471525   0.0292541
          46   -0.389432   -0.469741   0.0286725
          47   -0.467906   -0.469702   0.0280625
          48   -0.426534   -0.468802   0.0274923
          49   -0.487318    -0.46918   0.0269338
          50    -0.44739   -0.468744   0.0263987
          51   -0.417855   -0.467746   0.0258999
          52   -0.514603   -0.468648   0.0254175
          53   -0.485683   -0.468969     0.02494
          54   -0.450186   -0.468621   0.0244805
          55   -0.450331   -0.468289   0.0240377
          56    -0.42308   -0.467481    0.023622
          57   -0.377691   -0.465906     0.02326
          58   -0.407204   -0.464894    0.022881
          59   -0.394642   -0.463703   0.0225242
          60   -0.368273   -0.462113   0.0222048
          61   -0.415895   -0.461355   0.0218537
          62   -0.458517   -0.461309   0.0215013
          63   -0.455133   -0.461211   0.0211603
          64   -0.404592   -0.460327   0.0208481
          65   -0.401889   -0.459428   0.0205467
          66   -0.432459   -0.459019   0.0202395
          67   -0.426367   -0.458532   0.0199433
          68   -0.382315   -0.457411   0.0196815
          69   -0.370919   -0.456157   0.0194361
          70   -0.370277    -0.45493   0.0191971
          71   -0.375258   -0.453808   0.0189595
          72   -0.356521   -0.452457   0.0187443
          73   -0.354595   -0.451116   0.0185354
          74   -0.323544   -0.449392   0.0183649
          75   -0.323924    -0.44772   0.0181961
          76   -0.383414   -0.446873   0.0179763
          77   -0.371486   -0.445894   0.0177695
          78   -0.418203   -0.445539   0.0175452
          79   -0.437186   -0.445434   0.0173234
          80   -0.440185   -0.445368    0.017107
          81   -0.381337   -0.444578   0.0169141
          82   -0.380355   -0.443794   0.0167259
          83   -0.399073   -0.443255   0.0165331
          84   -0.345903   -0.442097   0.0163768
          85    -0.33973   -0.440892   0.0162284
          86   -0.360361   -0.439956   0.0160667
          87   -0.376712   -0.439229   0.0158985
          88   -0.353468   -0.438254   0.0157476
          89   -0.361249   -0.437389   0.0155944
          90   -0.405028    -0.43703   0.0154253
          91   -0.451878   -0.437193   0.0152567
          92   -0.360678   -0.436361   0.0151135
          93   -0.367382   -0.435619   0.0149692
          94   -0.425413   -0.435511   0.0148103
          95   -0.428909   -0.435441   0.0146546
          96   -0.479539   -0.435901   0.0145091
          97   -0.484542   -0.436402   0.0143682
          98   -0.415006   -0.436184   0.0142233
          99    -0.40188   -0.435837   0.0140838
         100   -0.417261   -0.435651   0.0139442
