#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.91384     1.91384           0
           2     1.73729     1.82556   0.0624214
           3     1.57946     1.74353   0.0788558
           4     1.40711     1.65942   0.0938236
           5     1.34601     1.59674   0.0936868
           6     1.32631     1.55167   0.0882505
           7     1.30193     1.51599   0.0825403
           8      1.2612     1.48414    0.078126
           9     1.26344     1.45962   0.0731929
          10      1.2575     1.43941   0.0686077
          11     1.24074     1.42135   0.0647043
          12     1.23423     1.40575   0.0611623
          13     1.25157     1.39389    0.057596
          14     1.24942     1.38358   0.0543986
          15     1.28064     1.37671   0.0512031
          16     1.23748     1.36801   0.0487367
          17     1.22716     1.35973   0.0465688
          18     1.23447     1.35277   0.0444985
          19     1.20388     1.34493   0.0428408
          20     1.18221     1.33679   0.0414642
          21     1.20154     1.33035   0.0399868
          22     1.20314     1.32457    0.038585
          23     1.22085     1.32006     0.03717
          24     1.27659     1.31825   0.0356654
          25     1.27147     1.31638   0.0342878
          26     1.28433     1.31515   0.0329912
          27      1.2592     1.31307   0.0318343
          28     1.25361     1.31095   0.0307681
          29     1.25352     1.30897   0.0297708
          30      1.2728     1.30777   0.0288029
          31     1.26763     1.30647   0.0279028
          32     1.26514     1.30518   0.0270607
          33     1.27932      1.3044   0.0262521
          34     1.26611     1.30327   0.0255041
          35     1.28671      1.3028   0.0247798
          36     1.26622     1.30178   0.0241123
          37     1.28494     1.30132   0.0234649
          38     1.28516      1.3009   0.0228512
          39      1.2855      1.3005   0.0222687
          40     1.29655     1.30041   0.0217122
          41     1.26416     1.29952   0.0212006
          42       1.238     1.29806   0.0207464
          43     1.26686     1.29733   0.0202766
          44     1.25611     1.29639   0.0198374
          45     1.24351     1.29522   0.0194314
          46      1.2407     1.29403    0.019045
          47     1.29291     1.29401   0.0186398
          48     1.26537     1.29341   0.0182611
          49     1.30577     1.29367   0.0178901
          50     1.27946     1.29338   0.0175346
          51     1.25935     1.29271   0.0172035
          52     1.32399     1.29332   0.0168831
          53     1.30468     1.29353    0.016566
          54     1.28108      1.2933   0.0162608
          55     1.28133     1.29308   0.0159666
          56     1.26298     1.29254   0.0156905
          57     1.23272      1.2915   0.0154503
          58     1.25247     1.29082   0.0151986
          59      1.2442     1.29003   0.0149615
          60     1.22643     1.28897   0.0147496
          61      1.2581     1.28847   0.0145165
          62     1.28662     1.28844   0.0142824
          63     1.28443     1.28837   0.0140559
          64     1.25083     1.28779   0.0138485
          65     1.24897     1.28719   0.0136483
          66     1.26928     1.28692   0.0134442
          67      1.2652     1.28659   0.0132474
          68     1.23597     1.28585   0.0130735
          69     1.22824     1.28501   0.0129107
          70     1.22785      1.2842    0.012752
          71     1.23116     1.28345   0.0125943
          72     1.21873     1.28255   0.0124514
          73     1.21759     1.28166   0.0123126
          74     1.19675     1.28051   0.0121996
          75     1.19688      1.2794   0.0120878
          76     1.23667     1.27884   0.0119418
          77     1.22862     1.27818   0.0118045
          78      1.2597     1.27795   0.0116555
          79     1.27227     1.27788   0.0115082
          80     1.27432     1.27783   0.0113645
          81     1.23526     1.27731   0.0112363
          82     1.23463     1.27678   0.0111113
          83      1.2471     1.27643   0.0109832
          84     1.21179     1.27566   0.0108794
          85     1.20739     1.27485    0.010781
          86     1.22124     1.27423   0.0106736
          87     1.23205     1.27375    0.010562
          88     1.21657      1.2731   0.0104619
          89      1.2219     1.27252   0.0103602
          90     1.25093     1.27228   0.0102478
          91     1.28237     1.27239   0.0101358
          92     1.22153     1.27184   0.0100407
          93     1.22593     1.27135  0.00994486
          94     1.26462     1.27127  0.00983932
          95     1.26711     1.27123  0.00973585
          96     1.30056     1.27154  0.00963922
          97     1.30411     1.27187   0.0095457
          98     1.25752     1.27173  0.00944942
          99     1.24906      1.2715  0.00935674
         100     1.25912     1.27137  0.00926399
