#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.44219    -1.44219           0
           2    -1.48728    -1.46473   0.0159419
           3     -1.4388    -1.45609   0.0127581
           4    -1.36262    -1.43272   0.0223836
           5    -1.28632    -1.40344   0.0317263
           6    -1.22588    -1.37385   0.0377998
           7    -1.12775    -1.33869   0.0459255
           8    -1.10832    -1.30989   0.0483775
           9    -1.12049    -1.28885   0.0473588
          10    -1.10284    -1.27025   0.0461316
          11    -1.05225    -1.25043   0.0459983
          12   -0.970287    -1.22708    0.047723
          13   -0.913444    -1.20296   0.0497783
          14   -0.816265    -1.17534   0.0533382
          15   -0.742798     -1.1465    0.057047
          16   -0.725236    -1.12017   0.0592467
          17   -0.694818    -1.09515   0.0608159
          18   -0.630289    -1.06933   0.0626813
          19   -0.599821    -1.04462   0.0640683
          20   -0.548762    -1.01982   0.0654864
          21   -0.552739   -0.997581   0.0660373
          22   -0.535961   -0.976598   0.0662854
          23   -0.544947    -0.95783   0.0660068
          24   -0.562764   -0.941369   0.0652768
          25   -0.542054   -0.925397   0.0645903
          26   -0.512153   -0.909503   0.0640318
          27   -0.504642   -0.894508   0.0633917
          28   -0.531135    -0.88153   0.0624419
          29   -0.533783   -0.869539   0.0614294
          30   -0.508173   -0.857493   0.0605512
          31   -0.474841    -0.84515   0.0598429
          32   -0.495944   -0.834237   0.0589594
          33   -0.489293   -0.823784   0.0580919
          34   -0.492045   -0.814027   0.0571969
          35   -0.454548   -0.803756   0.0564773
          36   -0.404171   -0.792657   0.0559886
          37   -0.398948   -0.782016   0.0554773
          38   -0.417086   -0.772413   0.0548423
          39   -0.435863   -0.763783   0.0541107
          40   -0.445881   -0.755836   0.0533384
          41   -0.408774   -0.747371   0.0527049
          42   -0.434984   -0.739933   0.0519722
          43   -0.442716   -0.733021   0.0512211
          44   -0.435959    -0.72627      0.0505
          45   -0.395191   -0.718912   0.0499108
          46   -0.397962   -0.711935   0.0493111
          47   -0.407131    -0.70545   0.0486865
          48   -0.410039   -0.699295   0.0480596
          49   -0.427219   -0.693743   0.0473985
          50   -0.431852   -0.688505    0.046739
