#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.93904     1.93904           0
           2     1.96885     1.95394   0.0105416
           3     1.93845     1.94878  0.00819565
           4     1.88655     1.93322   0.0148091
           5     1.83631     1.91384   0.0209973
           6     1.79665     1.89431   0.0249813
           7      1.7313     1.87102   0.0303861
           8     1.71825     1.85193    0.032031
           9     1.72605     1.83794   0.0313775
          10     1.71418     1.82556   0.0305833
          11     1.68199     1.81251   0.0304609
          12     1.62615     1.79698   0.0316346
          13     1.58934     1.78101   0.0329878
          14     1.52442     1.76268   0.0353581
          15     1.47538     1.74353   0.0378346
          16     1.46364     1.72604   0.0393065
          17     1.44376     1.70943   0.0403494
          18     1.40102      1.6923   0.0415868
          19     1.38058     1.67589   0.0425112
          20     1.34657     1.65942   0.0434578
          21     1.34924     1.64465   0.0438267
          22     1.33802     1.63072    0.043995
          23     1.34423     1.61826     0.04381
          24     1.35594     1.60733   0.0433266
          25      1.3426     1.59674    0.042868
          26     1.32246     1.58619   0.0424975
          27     1.31739     1.57624   0.0420734
          28     1.33478     1.56761   0.0414451
          29     1.33699     1.55966   0.0407718
          30     1.31994     1.55167   0.0401882
          31      1.2976     1.54347   0.0397187
          32     1.31138     1.53622   0.0391341
          33     1.30725     1.52928   0.0385584
          34      1.3091     1.52281   0.0379643
          35     1.28434     1.51599    0.037486
          36     1.25064     1.50862   0.0371623
          37     1.24693     1.50155   0.0368248
          38     1.25897     1.49517   0.0364049
          39     1.27139     1.48943   0.0359207
          40     1.27809     1.48414   0.0354092
          41      1.2539     1.47853    0.034988
          42     1.27067     1.47358   0.0345032
          43     1.27627     1.46899   0.0340045
          44      1.2718     1.46451   0.0335257
          45     1.24455     1.45962   0.0331351
          46     1.24608     1.45498   0.0327383
          47     1.25251     1.45067    0.032324
          48     1.25439     1.44658   0.0319082
          49     1.26562     1.44289     0.03147
          50     1.26889     1.43941   0.0310324
