#   N_BLOCK:  ACCEPTANCE:
           1    0.537906
           2    0.538079
           3    0.538049
           4    0.538023
           5    0.538034
           6    0.537844
           7    0.537639
           8    0.537679
           9     0.53776
          10    0.537675
          11    0.537577
          12    0.537608
          13    0.537635
          14    0.537682
          15    0.537707
          16    0.537729
          17    0.537633
          18    0.537632
          19    0.537623
          20    0.537604
