#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.000362    0.000362           0
           2   -0.003234   -0.001436  0.00127138
           3    0.009144  0.00209067  0.00300166
           4   -0.003704    0.000642  0.00257723
           5     0.00191   0.0008956  0.00207422
           6    0.002834  0.00121867   0.0017535
           7   -0.009368-0.000293714  0.00205415
           8    0.000236  -0.0002275  0.00179845
           9      0.0033 0.000164444  0.00164077
          10   -0.005692  -0.0004212  0.00157776
          11     0.00203-0.000198364  0.00144998
          12   -0.000248  -0.0002025  0.00132915
          13     0.00224-1.46154e-05  0.00124012
          14    0.001258 7.62857e-05  0.00115486
          15    0.001868 0.000195733  0.00108403
          16    0.000546 0.000217625   0.0010165
          17    0.002472 0.000350235 0.000965318
          18    0.003386 0.000518889 0.000926305
          19     0.00047 0.000516316 0.000877556
          20     0.00689    0.000835 0.000889663
