#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3433      1.3433           0
           2     1.34346     1.34338 5.65685e-05
           3     1.36267     1.34981  0.00525021
           4     1.35523     1.35117  0.00410854
           5     1.31325     1.34358  0.00753706
           6     1.35395     1.34531  0.00647576
           7      1.3893     1.35159  0.00804116
           8     1.35998     1.35264  0.00710401
           9     1.32164      1.3492  0.00710071
          10     1.38833     1.35311  0.00739076
          11     1.37779     1.35535  0.00705106
          12     1.35849     1.35562  0.00646831
          13     1.37378     1.35701  0.00611973
          14     1.34877     1.35642  0.00571084
          15     1.35903      1.3566  0.00533276
          16     1.37179     1.35755  0.00508324
          17     1.37348     1.35848  0.00486981
          18     1.34012     1.35746  0.00470495
          19     1.38667       1.359  0.00470172
          20     1.32851     1.35748  0.00470726
