#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.459868   -0.459868           0
           2   -0.461468   -0.460668 0.000565685
           3   -0.462204    -0.46118 0.000563014
           4     -0.4633    -0.46171 0.000623682
           5    -0.46178   -0.461724 0.000499103
           6   -0.463868   -0.462081 0.000528578
           7   -0.464092   -0.462369 0.000525346
           8   -0.462688   -0.462409 0.000461193
           9   -0.460528     -0.4622 0.000454824
          10   -0.463016   -0.462281 0.000416605
          11   -0.462424   -0.462294 0.000378934
          12    -0.46206   -0.462275 0.000347859
          13   -0.463256    -0.46235 0.000329189
          14   -0.461444   -0.462285 0.000311974
          15   -0.462572   -0.462305  0.00029176
          16   -0.462736   -0.462332 0.000274768
          17   -0.464044   -0.462432 0.000276455
          18   -0.461796   -0.462397 0.000263346
          19   -0.461924   -0.462372 0.000250659
          20    -0.46218   -0.462362  0.00023831
