#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.4526     -5.4526           0
           2      -5.458     -5.4553  0.00190981
           3    -5.43495    -5.44851  0.00568348
           4     -5.4348    -5.44509   0.0051948
           5    -5.44209    -5.44449  0.00419025
           6    -5.46724    -5.44828  0.00491703
           7    -5.48466    -5.45348  0.00639613
           8    -5.45982    -5.45427  0.00564563
           9    -5.45416    -5.45426  0.00501835
          10    -5.43762    -5.45259  0.00478452
          11    -5.44429    -5.45184  0.00440865
          12    -5.46663    -5.45307  0.00421002
          13    -5.45678    -5.45336  0.00389582
          14    -5.46179    -5.45396  0.00366377
          15    -5.45673    -5.45414  0.00342417
          16    -5.43719    -5.45308  0.00337016
          17    -5.46527     -5.4538  0.00324727
          18    -5.47346    -5.45489  0.00324541
          19    -5.45747    -5.45503  0.00307744
          20    -5.46417    -5.45549  0.00295731
          21    -5.45314    -5.45537   0.0028186
          22    -5.43872    -5.45462  0.00279034
          23    -5.45085    -5.45445  0.00267383
          24    -5.45848    -5.45462  0.00256767
          25    -5.44859    -5.45438  0.00247627
          26     -5.4433    -5.45395   0.0024174
          27    -5.46539    -5.45438  0.00236466
          28    -5.46989    -5.45493  0.00234425
          29    -5.46695    -5.45535  0.00229974
          30    -5.46908     -5.4558  0.00226821
