#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.47612     1.47612           0
           2      1.4087     1.44241   0.0238359
           3     1.57274     1.48585   0.0388667
           4     1.44401     1.47539   0.0305255
           5     1.45034     1.47038   0.0248283
           6     1.41248     1.46073   0.0224875
           7     1.31285     1.43961     0.02746
           8     1.44447     1.44022   0.0240343
           9     1.44395     1.44063   0.0213674
          10     1.50071     1.44664   0.0200576
          11     1.52295     1.45358   0.0193968
          12     1.28843     1.43981   0.0221302
          13     1.41617       1.438   0.0205024
          14     1.38017     1.43387   0.0194496
          15     1.46141      1.4357   0.0182394
          16     1.58078     1.44477   0.0192217
          17     1.42558     1.44364   0.0181241
          18     1.39267     1.44081   0.0173371
          19     1.38921     1.43809   0.0166359
          20      1.4265     1.43751   0.0158142
          21     1.52413     1.44164   0.0155898
          22     1.47487     1.44315   0.0149542
          23     1.57667     1.44895   0.0153896
          24     1.51529     1.45172   0.0149946
          25      1.4967     1.45352   0.0145023
          26     1.50631     1.45555    0.014086
          27     1.38793     1.45304   0.0137851
          28     1.44173     1.45264   0.0132987
          29     1.35569      1.4493   0.0132537
          30     1.37992     1.44698   0.0130121
