#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09793     1.09793           0
           2     1.10106      1.0995  0.00110671
           3     1.08538     1.09479  0.00391237
           4     1.08545     1.09246   0.0035631
           5     1.08999     1.09196  0.00288442
           6     1.10681     1.09444  0.00329842
           7     1.11842     1.09786  0.00424877
           8      1.1018     1.09836   0.0037461
           9     1.09892     1.09842  0.00333039
          10     1.08857     1.09743  0.00313968
          11     1.09203     1.09694  0.00289236
          12     1.10542     1.09765  0.00273623
          13     1.09977     1.09781  0.00253063
          14     1.10151     1.09808  0.00236358
          15     1.09874     1.09812  0.00220642
          16     1.08685     1.09742  0.00217805
          17     1.10497     1.09786  0.00209482
          18     1.11089     1.09858  0.00209979
          19     1.09999     1.09866  0.00199058
          20     1.10508     1.09898  0.00191674
          21      1.0982     1.09894  0.00182583
          22     1.08757     1.09842  0.00181458
          23      1.0975     1.09838  0.00173613
          24     1.10144     1.09851  0.00166846
          25     1.09493     1.09837  0.00160787
          26     1.09119     1.09809  0.00156956
          27     1.10463     1.09833  0.00152999
          28      1.1085      1.0987  0.00151784
          29     1.10609     1.09895  0.00148676
          30     1.10797     1.09925  0.00146727
