#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.8057     -3.8057           0
           2    -3.80641    -3.80605 0.000249743
           3    -3.80688    -3.80633 0.000279285
           4    -3.80662     -3.8064 0.000218665
           5     -3.8071    -3.80654 0.000215519
           6    -3.80703    -3.80662 0.000194128
           7    -3.80703    -3.80668 0.000174889
           8    -3.80712    -3.80674 0.000161412
           9    -3.80579    -3.80663 0.000174346
          10    -3.80477    -3.80644 0.000236494
          11    -3.80624    -3.80643 0.000215702
          12     -3.8085     -3.8066  0.00025786
          13    -3.80712    -3.80664 0.000241125
          14    -3.80953    -3.80684 0.000299436
          15    -3.80862    -3.80696 0.000301952
          16    -3.80691    -3.80696 0.000283097
          17    -3.80781    -3.80701 0.000270825
          18    -3.80713    -3.80702 0.000255858
          19    -3.80749    -3.80704 0.000243579
          20    -3.80656    -3.80702 0.000232608
          21    -3.80584    -3.80696 0.000228154
          22    -3.80737    -3.80698 0.000218525
          23     -3.8046    -3.80688 0.000232241
          24    -3.80631    -3.80685 0.000223741
          25     -3.8062    -3.80683 0.000216314
          26    -3.80652    -3.80681 0.000208318
          27    -3.80844    -3.80687 0.000209133
          28    -3.80714    -3.80688 0.000201876
          29    -3.80781    -3.80692 0.000197413
          30    -3.80713    -3.80692  0.00019096
