#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45546    -5.45546           0
           2    -5.48164    -5.46855  0.00925389
           3    -5.46712    -5.46807  0.00618153
           4    -5.46452    -5.46719  0.00469944
           5    -5.46843    -5.46744  0.00376616
           6    -5.46757    -5.46746  0.00313853
           7    -5.47427    -5.46843  0.00283709
           8    -5.46587    -5.46811  0.00250048
           9    -5.48475    -5.46996  0.00282493
          10     -5.4658    -5.46954  0.00257285
          11    -5.47264    -5.46983  0.00235429
          12     -5.4568    -5.46874  0.00239535
          13     -5.4617     -5.4682  0.00227147
          14    -5.45751    -5.46743  0.00223378
          15     -5.4518    -5.46639  0.00231522
          16    -5.47379    -5.46686  0.00221622
          17    -5.46567    -5.46679  0.00208695
          18    -5.44904     -5.4658  0.00219153
          19    -5.47776    -5.46643  0.00216471
          20    -5.45838    -5.46603  0.00209358
          21    -5.47067    -5.46625  0.00200553
          22    -5.48503     -5.4671  0.00208821
          23    -5.44452    -5.46612  0.00221616
          24    -5.45136    -5.46551  0.00220751
          25    -5.45283      -5.465  0.00217662
          26    -5.48648    -5.46582  0.00224418
          27    -5.47541    -5.46618  0.00218899
          28      -5.475    -5.46649  0.00213336
          29    -5.44586    -5.46578  0.00217518
          30    -5.47876    -5.46622  0.00214526
