#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.42815     1.42815           0
           2     1.32618     1.37716   0.0360521
           3     1.40567     1.38666   0.0252558
           4     1.41049     1.39262   0.0196318
           5     1.40067     1.39423   0.0157713
           6     1.39177     1.39382   0.0131481
           7     1.39416     1.39387   0.0112699
           8     1.39837     1.39443   0.0098752
           9      1.3088     1.38492   0.0125508
          10     1.38927     1.38535   0.0113032
          11     1.35278     1.38239   0.0106565
          12     1.42288     1.38577   0.0102888
          13      1.4195     1.38836   0.0098192
          14     1.48347     1.39515   0.0112245
          15     1.44669     1.39859   0.0109894
          16     1.34809     1.39543   0.0107462
          17     1.38597     1.39488   0.0101285
          18     1.47503     1.39933   0.0104991
          19     1.28376     1.39325   0.0115752
          20      1.4669     1.39693   0.0115675
          21     1.36367     1.39535   0.0111246
          22     1.27323      1.3898   0.0119235
          23     1.50848     1.39496   0.0124718
          24     1.45882     1.39762   0.0122328
          25     1.42774     1.39882   0.0118027
          26     1.28214     1.39433   0.0121721
          27     1.35279      1.3928   0.0118182
          28     1.36418     1.39177   0.0114402
          29     1.52538     1.39638   0.0119374
          30     1.31086     1.39353    0.011875
