#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6469      1.6469           0
           2     1.65159     1.64924  0.00166007
           3     1.62807     1.64219  0.00586856
           4     1.62818     1.63869  0.00534465
           5     1.63499     1.63795  0.00432663
           6     1.66021     1.64166  0.00494763
           7     1.67763      1.6468  0.00637315
           8      1.6527     1.64753  0.00561915
           9     1.64837     1.64763  0.00499558
          10     1.63285     1.64615  0.00470952
          11     1.63805     1.64541  0.00433853
          12     1.65813     1.64647  0.00410435
          13     1.64966     1.64672  0.00379594
          14     1.65226     1.64711  0.00354537
          15     1.64811     1.64718  0.00330963
          16     1.63028     1.64612  0.00326708
          17     1.65746     1.64679  0.00314223
          18     1.66634     1.64788  0.00314969
          19     1.64999     1.64799  0.00298588
          20     1.65761     1.64847  0.00287512
          21      1.6473     1.64841  0.00273875
          22     1.63135     1.64764  0.00272187
          23     1.64625     1.64758   0.0026042
          24     1.65216     1.64777  0.00250269
          25     1.64239     1.64755  0.00241181
          26     1.63678     1.64714  0.00235434
          27     1.65695      1.6475  0.00229499
          28     1.66276     1.64805  0.00227676
          29     1.65914     1.64843  0.00223015
          30     1.66195     1.64888   0.0022009
